placa,nombre,email,telefono,tipo_usuario,tiene_tag,tag_id,saldo_disponible
P-684RKE,Diego Torres,diego.torres57@email.com,50291688860,registrado,true,TAG-101,300.03
P-678AQD,Diego Méndez,diego.méndez58@email.com,50226749089,registrado,true,TAG-084,113.71
P-334IWH,Gabriela Gómez,gabriela.gómez59@email.com,50230993268,registrado,true,TAG-139,35.52
P-974JQU,María Pérez,maría.pérez60@email.com,50253189803,registrado,true,TAG-006,314.45
P-244DRO,Pedro Vargas,pedro.vargas61@email.com,50254392446,registrado,false,,
P-621ZSU,Sofía Ramírez,sofía.ramírez62@email.com,50234508768,registrado,true,TAG-080,292.14
P-929YKS,Carlos Ramos,carlos.ramos63@email.com,50252594692,registrado,true,TAG-078,426.64
P-614UUO,María Flores,maría.flores64@email.com,50291503856,registrado,true,TAG-095,43.79
P-663IWV,Ana Cruz,ana.cruz65@email.com,50268612055,registrado,false,,142.93
P-445ENQ,Claudia Morales,claudia.morales66@email.com,50284893936,registrado,true,TAG-069,167.93
P-251VCW,Diana Vargas,diana.vargas67@email.com,50296483924,registrado,false,,
P-029MIM,Paola Gómez,paola.gómez68@email.com,50265679506,registrado,true,TAG-071,282.34
P-529YCS,Monica Morales,monica.morales69@email.com,50252255732,registrado,false,,100.71
P-811AHK,Diana Ramírez,diana.ramírez70@email.com,50298055069,registrado,true,TAG-142,270.15
P-435ZOJ,Diego Gómez,diego.gómez71@email.com,50261154241,registrado,true,TAG-031,363.43
P-323DNT,Sofía Castro,sofía.castro72@email.com,50249042654,registrado,false,,
P-603ZNH,Ana Castro,ana.castro73@email.com,50259761527,registrado,true,TAG-046,158.11
P-725NHZ,Lucía Ramírez,lucía.ramírez74@email.com,50236948946,registrado,false,,25.00
P-012OML,Sofía López,sofía.lópez75@email.com,50253887075,registrado,false,,
P-841BMP,María Torres,maría.torres76@email.com,50240024960,registrado,false,,21.61
P-254DTP,Claudia Molina,claudia.molina77@email.com,50290138498,registrado,true,TAG-114,155.70
P-602ZHQ,Claudia Ruiz,claudia.ruiz78@email.com,50247888820,registrado,false,,
P-083EEB,Juan Cruz,juan.cruz79@email.com,50280465583,registrado,false,,
P-033GSS,Diego García,diego.garcía80@email.com,50251329612,registrado,false,,126.89
P-677UFC,Diana Torres,diana.torres81@email.com,50255652586,registrado,false,,
P-169UPV,Andrea Vargas,andrea.vargas82@email.com,50236690465,registrado,true,TAG-078,352.87
P-965HOL,Claudia López,claudia.lópez83@email.com,50277985905,registrado,false,,10.04
P-234ZVO,Juan Gómez,juan.gómez84@email.com,50297342561,registrado,true,TAG-045,240.55
P-667LHZ,Gabriela Santos,gabriela.santos85@email.com,50232246348,registrado,true,TAG-105,173.32
P-686CEK,Monica Ramírez,monica.ramírez86@email.com,50273747791,registrado,false,,93.69
P-322GDU,Pablo Pérez,pablo.pérez87@email.com,50292825679,registrado,true,TAG-014,101.92
P-370QML,María Castro,maría.castro88@email.com,50255843681,registrado,true,TAG-074,224.68
P-715MAQ,Diana Méndez,diana.méndez89@email.com,50261708177,registrado,true,TAG-142,209.92
P-230ZXL,Ana Torres,ana.torres90@email.com,50286890827,registrado,false,,
P-722HVZ,Diana Vargas,diana.vargas91@email.com,50293989546,registrado,true,TAG-049,461.72
P-520TDB,Gabriela Hernández,gabriela.hernández92@email.com,50288147397,registrado,true,TAG-001,148.59
P-305VPR,Luis Vargas,luis.vargas93@email.com,50292287061,registrado,true,TAG-086,280.44
P-556JYW,Diana Ramos,diana.ramos94@email.com,50271401477,registrado,true,TAG-106,31.39
P-762MXJ,Luis Santos,luis.santos95@email.com,50224968688,registrado,true,TAG-085,436.15
P-895VCX,Juan Torres,juan.torres96@email.com,50275026398,registrado,false,,19.59
P-800ZIS,Carlos Hernández,carlos.hernández97@email.com,50291621574,registrado,true,TAG-082,317.13
P-908TWA,Carlos Molina,carlos.molina98@email.com,50258571356,registrado,false,,89.62
P-100TSC,Sofía Ramírez,sofía.ramírez99@email.com,50223885234,registrado,true,TAG-015,153.75
P-383LGK,Sofía Méndez,sofía.méndez100@email.com,50243497411,registrado,true,TAG-098,313.66
P-246MPG,Ricardo Vargas,ricardo.vargas101@email.com,50254269370,registrado,false,,95.72
P-294REL,Paola Ramos,paola.ramos102@email.com,50260151803,registrado,false,,
P-256LHZ,Monica Ruiz,monica.ruiz103@email.com,50251837210,registrado,true,TAG-092,291.66
P-716HZR,Ricardo Pérez,ricardo.pérez104@email.com,50295957706,registrado,false,,194.85
P-932PMX,Andrea Molina,andrea.molina105@email.com,50267287718,registrado,true,TAG-049,314.24
P-694TTR,Luis Ruiz,luis.ruiz106@email.com,50225291208,registrado,true,TAG-113,26.35
P-373TCH,Gabriela Méndez,gabriela.méndez107@email.com,50246950221,registrado,true,TAG-139,439.47
P-374NXV,Ricardo Santos,ricardo.santos108@email.com,50259613214,registrado,false,,
P-117MBT,Diana Gutiérrez,diana.gutiérrez109@email.com,50294801233,registrado,true,TAG-102,16.82
P-549DJT,Ricardo Ramos,ricardo.ramos110@email.com,50271140376,registrado,false,,26.13
P-239MQY,Jorge Domínguez,jorge.domínguez111@email.com,50249711402,registrado,false,,95.53
P-717HKD,María Ramírez,maría.ramírez112@email.com,50286118957,registrado,true,TAG-061,444.76
P-138KJY,Lucía Cruz,lucía.cruz113@email.com,50298831486,registrado,false,,
P-424RVQ,Ricardo López,ricardo.lópez114@email.com,50269731689,registrado,true,TAG-114,475.77
P-875JZJ,Paola López,paola.lópez115@email.com,50273437398,registrado,true,TAG-032,475.02
P-843LRQ,Claudia Pérez,claudia.pérez116@email.com,50226788532,registrado,false,,
P-128UFV,Lucía Castro,lucía.castro117@email.com,50298703005,registrado,true,TAG-060,170.99
P-151UPH,Luis Torres,luis.torres118@email.com,50292506491,registrado,true,TAG-045,63.86
P-887AAU,Diana Ramos,diana.ramos119@email.com,50263455870,registrado,true,TAG-068,35.68
P-759KCB,Diego Flores,diego.flores120@email.com,50288885632,registrado,true,TAG-116,256.88
P-968PSX,Pablo Ramírez,pablo.ramírez121@email.com,50281477426,registrado,false,,
P-490WLC,Diego García,diego.garcía122@email.com,50230843514,registrado,true,TAG-038,42.18
P-281QPS,Fernando Domínguez,fernando.domínguez123@email.com,50291210133,registrado,true,TAG-130,306.66
P-101UCR,Lucía Castro,lucía.castro124@email.com,50277723010,registrado,true,TAG-059,212.77
P-847LKC,Gabriela Hernández,gabriela.hernández125@email.com,50254210729,registrado,true,TAG-040,346.54
P-485BVC,Ana Flores,ana.flores126@email.com,50237463800,registrado,true,TAG-144,285.22
P-686DJR,Gabriela López,gabriela.lópez127@email.com,50258604965,registrado,false,,
P-591NEM,Ana Flores,ana.flores128@email.com,50294660688,registrado,true,TAG-072,291.31
P-826LOT,Claudia Domínguez,claudia.domínguez129@email.com,50294724345,registrado,true,TAG-069,24.19
P-279SII,Juan Méndez,juan.méndez130@email.com,50239226889,registrado,true,TAG-103,44.10
P-758QAT,Pedro Gutiérrez,pedro.gutiérrez131@email.com,50276348963,registrado,true,TAG-041,191.33
P-738IYP,María Torres,maría.torres132@email.com,50241127198,registrado,false,,
P-083HRM,Diego Cruz,diego.cruz133@email.com,50256663833,registrado,true,TAG-132,65.77
P-440CRP,Pablo Ramírez,pablo.ramírez134@email.com,50226095815,registrado,true,TAG-015,13.77
P-308YTT,Andrea Hernández,andrea.hernández135@email.com,50236104026,registrado,true,TAG-111,96.09
P-389NFO,Paola García,paola.garcía136@email.com,50273293990,registrado,false,,
P-019LCI,Gabriela Ramos,gabriela.ramos137@email.com,50274280720,registrado,false,,
P-117KZE,Claudia Vargas,claudia.vargas138@email.com,50268567046,registrado,true,TAG-028,129.23
P-603KCW,Jorge Molina,jorge.molina139@email.com,50264703713,registrado,false,,
P-648CNX,Paola Flores,paola.flores140@email.com,50239822594,registrado,true,TAG-038,135.42
P-177PTR,Sofía Santos,sofía.santos141@email.com,50282270726,registrado,false,,92.54
P-946WQZ,Jorge Hernández,jorge.hernández142@email.com,50240261159,registrado,true,TAG-121,226.68
P-310UPJ,Carlos Ramírez,carlos.ramírez143@email.com,50281974027,registrado,true,TAG-015,190.68
P-293BWW,Claudia Domínguez,claudia.domínguez144@email.com,50288057490,registrado,true,TAG-149,281.62
P-810TBX,Héctor Castro,héctor.castro145@email.com,50263154591,registrado,false,,191.76
P-461CXI,Carlos Reyes,carlos.reyes146@email.com,50243160465,registrado,true,TAG-113,495.58
P-536NEJ,Andrea Gutiérrez,andrea.gutiérrez147@email.com,50274864099,registrado,false,,15.21
P-646QBC,Fernando Ramírez,fernando.ramírez148@email.com,50253822301,registrado,false,,181.74
P-894DCR,Paola Ramírez,paola.ramírez149@email.com,50272607710,registrado,true,TAG-022,161.70
P-385QID,Pablo García,pablo.garcía150@email.com,50276828640,registrado,true,TAG-005,187.67
P-184YIT,Pedro Molina,pedro.molina151@email.com,50238463709,registrado,true,TAG-076,423.77
P-103NOT,Pablo López,pablo.lópez152@email.com,50265199748,registrado,false,,121.46
P-157EVU,Sofía Vargas,sofía.vargas153@email.com,50225864298,registrado,true,TAG-061,485.10
P-625HTL,Lucía Molina,lucía.molina154@email.com,50261536077,registrado,false,,181.27
P-198JYZ,Diego Ramírez,diego.ramírez155@email.com,50271254050,registrado,true,TAG-108,483.47
P-836FPW,María Santos,maría.santos156@email.com,50269823245,registrado,true,TAG-027,358.59
P-528WHT,Ricardo Vargas,ricardo.vargas157@email.com,50288901038,registrado,true,TAG-112,54.94
P-932FLJ,Juan Cruz,juan.cruz158@email.com,50227148018,registrado,true,TAG-096,125.53
P-083JAY,Jorge Torres,jorge.torres159@email.com,50238468304,registrado,true,TAG-121,351.08
P-142TMP,Carlos Pérez,carlos.pérez160@email.com,50254349528,registrado,true,TAG-039,278.91
P-744PLU,Diana Ramírez,diana.ramírez161@email.com,50236354208,registrado,true,TAG-108,323.09
P-637LCX,Claudia Morales,claudia.morales162@email.com,50222205915,registrado,false,,145.12
P-298LPG,Gabriela Méndez,gabriela.méndez163@email.com,50231490910,registrado,true,TAG-093,43.16
P-538OUN,Juan Gutiérrez,juan.gutiérrez164@email.com,50283100462,registrado,true,TAG-100,490.71
P-259TJB,Diana Ruiz,diana.ruiz165@email.com,50298101741,registrado,false,,
P-045JIQ,Diego Santos,diego.santos166@email.com,50244464938,registrado,false,,
P-794YAF,Pedro López,pedro.lópez167@email.com,50262358553,registrado,false,,197.88
P-556MAQ,Andrea Flores,andrea.flores168@email.com,50226416148,registrado,false,,
P-127ULK,Diego Gutiérrez,diego.gutiérrez169@email.com,50265504725,registrado,false,,
P-509JUG,Carlos Cruz,carlos.cruz170@email.com,50230593403,registrado,true,TAG-047,277.28
P-328CIH,Diego Domínguez,diego.domínguez171@email.com,50277192331,registrado,true,TAG-114,182.26
P-043SXP,Gabriela Gómez,gabriela.gómez172@email.com,50227698469,registrado,true,TAG-104,188.02
P-820TEA,Claudia Vargas,claudia.vargas173@email.com,50224670638,registrado,true,TAG-061,391.47
P-375JYA,Luis Vargas,luis.vargas174@email.com,50269790013,registrado,true,TAG-020,291.22
P-542JIH,Ana Pérez,ana.pérez175@email.com,50244970946,registrado,true,TAG-100,457.64
P-120GGL,Claudia Ramírez,claudia.ramírez176@email.com,50285927774,registrado,true,TAG-035,427.88
P-462ESZ,Jorge Flores,jorge.flores177@email.com,50228715975,registrado,true,TAG-075,446.75
P-871ESS,Sofía Flores,sofía.flores178@email.com,50288284040,registrado,true,TAG-052,398.11
P-242UAO,Paola Vargas,paola.vargas179@email.com,50294040798,registrado,true,TAG-023,42.22
P-407ZSN,Gabriela Ramos,gabriela.ramos180@email.com,50229898653,registrado,true,TAG-082,324.75
P-460MND,Lucía Ramos,lucía.ramos181@email.com,50244422678,registrado,false,,
P-514XBD,Luis Ramírez,luis.ramírez182@email.com,50242099899,registrado,true,TAG-058,179.55
P-963NHC,Pedro Morales,pedro.morales183@email.com,50256836194,registrado,true,TAG-078,311.07
P-095NEY,Luis Méndez,luis.méndez184@email.com,50265314533,registrado,false,,165.92
P-029CYU,Ricardo Castro,ricardo.castro185@email.com,50296790955,registrado,true,TAG-008,254.04
P-642OQH,Diana Gutiérrez,diana.gutiérrez186@email.com,50259920898,registrado,true,TAG-016,87.46
P-425MFP,Jorge Hernández,jorge.hernández187@email.com,50266354851,registrado,false,,
P-379NCG,Ana Gómez,ana.gómez188@email.com,50280343755,registrado,true,TAG-025,34.80
P-968JPG,Sofía Hernández,sofía.hernández189@email.com,50297535841,registrado,false,,
P-163MNM,Andrea Santos,andrea.santos190@email.com,50223110670,registrado,true,TAG-101,257.67
P-989GPB,Andrea Santos,andrea.santos191@email.com,50283161098,registrado,true,TAG-003,425.11
P-441DGJ,Fernando Flores,fernando.flores192@email.com,50226072331,registrado,true,TAG-146,285.29
P-371OBN,Lucía Gómez,lucía.gómez193@email.com,50235946545,registrado,true,TAG-025,203.01
P-813ZOJ,Luis Castro,luis.castro194@email.com,50288333267,registrado,true,TAG-011,32.20
P-140SUN,Luis Domínguez,luis.domínguez195@email.com,50289190008,registrado,true,TAG-082,89.63
P-631THI,Pablo Morales,pablo.morales196@email.com,50285746104,registrado,false,,
P-835AIC,Gabriela Ramos,gabriela.ramos197@email.com,50261295819,registrado,false,,139.17
P-027PGR,Héctor Ramos,héctor.ramos198@email.com,50250540334,registrado,false,,38.25
P-644SUJ,Diana López,diana.lópez199@email.com,50296849080,registrado,false,,
P-019LKK,Pedro Cruz,pedro.cruz200@email.com,50287353073,registrado,false,,175.20
P-753SSN,Lucía Hernández,lucía.hernández201@email.com,50284205866,registrado,true,TAG-081,478.78
P-470XIJ,Ricardo Domínguez,ricardo.domínguez202@email.com,50284985553,registrado,true,TAG-064,146.71
P-305FZH,Andrea Castro,andrea.castro203@email.com,50285632882,registrado,true,TAG-090,284.64
P-956UHD,Lucía Gutiérrez,lucía.gutiérrez204@email.com,50272953249,registrado,false,,161.90
P-297BYC,Diego Gómez,diego.gómez205@email.com,50284300930,registrado,true,TAG-138,142.86
P-575SDQ,Héctor Molina,héctor.molina206@email.com,50252542167,registrado,true,TAG-136,120.58
P-238BKS,Ana Torres,ana.torres207@email.com,50220695441,registrado,false,,35.80
P-668YWM,Pedro Ramírez,pedro.ramírez208@email.com,50263106399,registrado,true,TAG-016,454.89
P-091QGT,María Méndez,maría.méndez209@email.com,50276087572,registrado,false,,
P-941AVU,Sofía Ramírez,sofía.ramírez210@email.com,50225028625,registrado,true,TAG-146,305.36
P-950ZHZ,Lucía Reyes,lucía.reyes211@email.com,50286291802,registrado,false,,
P-516MFC,Sofía Vargas,sofía.vargas212@email.com,50254529507,registrado,false,,
P-345UOT,Sofía Domínguez,sofía.domínguez213@email.com,50274423996,registrado,false,,21.91
P-685CZM,Diana Pérez,diana.pérez214@email.com,50255002007,registrado,true,TAG-115,379.34
P-976IPO,Ricardo Flores,ricardo.flores215@email.com,50251715995,registrado,true,TAG-031,238.04
P-163KNX,Andrea Ruiz,andrea.ruiz216@email.com,50259599276,registrado,true,TAG-057,117.37
P-136MLZ,Paola Cruz,paola.cruz217@email.com,50293717007,registrado,false,,161.39
P-845FGT,Carlos Reyes,carlos.reyes218@email.com,50279961498,registrado,true,TAG-093,48.27
P-577CVX,Pedro Ramos,pedro.ramos219@email.com,50292029307,registrado,true,TAG-084,428.70
P-452DFP,Carlos Reyes,carlos.reyes220@email.com,50279791674,registrado,false,,
P-525KOO,Andrea Pérez,andrea.pérez221@email.com,50273143336,registrado,true,TAG-001,375.44
P-592BLS,Lucía López,lucía.lópez222@email.com,50229263592,registrado,false,,
P-293KTT,Gabriela Flores,gabriela.flores223@email.com,50271335545,registrado,true,TAG-097,194.07
P-699ZWD,Paola Ruiz,paola.ruiz224@email.com,50243954324,registrado,false,,
P-130SFA,Juan Ramírez,juan.ramírez225@email.com,50282143331,registrado,false,,108.73
P-843FLE,Pedro Ruiz,pedro.ruiz226@email.com,50224324134,registrado,false,,
P-784YXG,Carlos Ruiz,carlos.ruiz227@email.com,50299717834,registrado,true,TAG-013,129.92
P-045KGF,María Torres,maría.torres228@email.com,50287631755,registrado,false,,
P-938TIP,Jorge Molina,jorge.molina229@email.com,50260502136,registrado,false,,106.64
P-423HBY,Sofía Cruz,sofía.cruz230@email.com,50294605013,registrado,true,TAG-089,471.38
P-687JNS,Gabriela Torres,gabriela.torres231@email.com,50260250352,registrado,true,TAG-138,242.02
P-869FWD,Diego López,diego.lópez232@email.com,50295482164,registrado,true,TAG-107,283.07
P-137KGI,Carlos Vargas,carlos.vargas233@email.com,50269805178,registrado,true,TAG-049,35.25
P-386RPW,Pedro Ramos,pedro.ramos234@email.com,50295007641,registrado,true,TAG-054,436.04
P-340HXF,Pedro Ruiz,pedro.ruiz235@email.com,50284279671,registrado,false,,142.23
P-406XOU,Fernando Vargas,fernando.vargas236@email.com,50291625307,registrado,false,,
P-368NMC,Monica Hernández,monica.hernández237@email.com,50247263310,registrado,true,TAG-106,32.40
P-884FDG,Héctor Ramos,héctor.ramos238@email.com,50276046380,registrado,true,TAG-051,171.63
P-388OGO,Jorge Gómez,jorge.gómez239@email.com,50285581613,registrado,false,,100.67
P-172TJD,Lucía Santos,lucía.santos240@email.com,50244702473,registrado,false,,130.15
P-060NVB,María Pérez,maría.pérez241@email.com,50275350347,registrado,true,TAG-060,43.30
P-154ANJ,Claudia Domínguez,claudia.domínguez242@email.com,50284854563,registrado,false,,
P-544OAN,Ricardo Morales,ricardo.morales243@email.com,50258478684,registrado,true,TAG-111,405.02
P-931EXN,Diana Castro,diana.castro244@email.com,50290659726,registrado,true,TAG-091,140.99
P-406CYL,Diana Molina,diana.molina245@email.com,50260261914,registrado,false,,132.48
P-878QAK,Fernando Morales,fernando.morales246@email.com,50283888323,registrado,true,TAG-003,354.39
P-084MLU,Héctor Ruiz,héctor.ruiz247@email.com,50290888325,registrado,false,,
P-922WXM,María García,maría.garcía248@email.com,50257631028,registrado,false,,11.42
P-951WAF,Luis Gutiérrez,luis.gutiérrez249@email.com,50230326375,registrado,true,TAG-145,127.83
P-854WRO,Fernando Torres,fernando.torres250@email.com,50230526386,registrado,true,TAG-089,36.31
P-447GBP,Claudia Domínguez,claudia.domínguez251@email.com,50273244581,registrado,false,,
P-649HZM,Paola Morales,paola.morales252@email.com,50270388958,registrado,true,TAG-150,333.73
P-087UHG,Carlos García,carlos.garcía253@email.com,50255966597,registrado,true,TAG-040,372.43
P-324JCY,Diego Flores,diego.flores254@email.com,50256207439,registrado,true,TAG-023,101.82
P-459ONC,Carlos Flores,carlos.flores255@email.com,50294386123,registrado,true,TAG-084,433.22
P-012HKC,Lucía Molina,lucía.molina256@email.com,50296767229,registrado,true,TAG-098,93.06
P-275HMB,Gabriela Gómez,gabriela.gómez257@email.com,50276519399,registrado,true,TAG-020,186.95
P-966GQP,Pedro Vargas,pedro.vargas258@email.com,50234357588,registrado,true,TAG-002,474.92
P-340VJW,Diego Hernández,diego.hernández259@email.com,50277796330,registrado,false,,194.97
P-139HPS,Monica Hernández,monica.hernández260@email.com,50243842070,registrado,false,,61.83
P-711QZU,Jorge Gutiérrez,jorge.gutiérrez261@email.com,50257621248,registrado,false,,
P-116YFZ,Sofía Morales,sofía.morales262@email.com,50223612618,registrado,false,,
P-725FUV,Carlos Cruz,carlos.cruz263@email.com,50287015343,registrado,true,TAG-078,128.59
P-674ELJ,Diego Domínguez,diego.domínguez264@email.com,50284321792,registrado,true,TAG-137,258.24
P-942WKA,Paola Morales,paola.morales265@email.com,50299701163,registrado,false,,
P-787GRE,Claudia López,claudia.lópez266@email.com,50295594147,registrado,false,,82.93
P-770IUC,Ana Gómez,ana.gómez267@email.com,50249796480,registrado,true,TAG-133,283.42
P-704OLK,Héctor Reyes,héctor.reyes268@email.com,50240232642,registrado,true,TAG-007,246.56
P-302KZD,Luis Flores,luis.flores269@email.com,50261861213,registrado,true,TAG-053,265.35
P-356MLS,Jorge García,jorge.garcía270@email.com,50260300763,registrado,true,TAG-030,21.07
P-351QRE,Diana Reyes,diana.reyes271@email.com,50243414716,registrado,true,TAG-085,284.33
P-981MUQ,Sofía Cruz,sofía.cruz272@email.com,50273094168,registrado,true,TAG-051,230.29
P-439KSF,Carlos Ramos,carlos.ramos273@email.com,50233656928,registrado,false,,76.33
P-201LGW,Pablo Hernández,pablo.hernández274@email.com,50272162278,registrado,false,,72.85
P-865LER,Andrea Domínguez,andrea.domínguez275@email.com,50299211057,registrado,true,TAG-035,163.46
P-244HES,Pablo Gutiérrez,pablo.gutiérrez276@email.com,50276135102,registrado,true,TAG-148,198.02
P-190MNX,Sofía Morales,sofía.morales277@email.com,50242396311,registrado,true,TAG-036,101.68
P-862LBJ,Juan Santos,juan.santos278@email.com,50238325379,registrado,true,TAG-099,482.28
P-517QKM,Diego Santos,diego.santos279@email.com,50242448383,registrado,true,TAG-008,399.98
P-225HHN,Sofía Vargas,sofía.vargas280@email.com,50295920319,registrado,false,,112.20
P-115OGO,Paola Morales,paola.morales281@email.com,50225584869,registrado,false,,
P-223ZCV,Diana Ramírez,diana.ramírez282@email.com,50224325890,registrado,true,TAG-090,432.48
P-089LZU,Diana Castro,diana.castro283@email.com,50298909809,registrado,false,,124.00
P-438EDF,Pedro López,pedro.lópez284@email.com,50296514083,registrado,true,TAG-072,302.46
P-172ISH,Ricardo Reyes,ricardo.reyes285@email.com,50232780905,registrado,true,TAG-106,460.20
P-283WDW,Diana Torres,diana.torres286@email.com,50263231088,registrado,false,,136.87
P-501DQQ,Fernando Vargas,fernando.vargas287@email.com,50230135622,registrado,false,,23.15
P-527TSW,Diego Santos,diego.santos288@email.com,50263928023,registrado,true,TAG-024,368.16
P-469QSW,Lucía Gutiérrez,lucía.gutiérrez289@email.com,50249236638,registrado,false,,101.47
P-330VIP,Héctor Santos,héctor.santos290@email.com,50266135950,registrado,false,,13.96
P-641ULD,Sofía Vargas,sofía.vargas291@email.com,50281272827,registrado,true,TAG-110,109.14
P-705XWH,Ricardo García,ricardo.garcía292@email.com,50268376818,registrado,true,TAG-096,335.61
P-664EKH,Diana Cruz,diana.cruz293@email.com,50232240547,registrado,false,,
P-488CPN,Diego Pérez,diego.pérez294@email.com,50221082139,registrado,false,,197.69
P-432SMF,Carlos Ruiz,carlos.ruiz295@email.com,50233851475,registrado,true,TAG-077,77.19
